country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tuvalu,2350,,,,,2740,,,,,2610,,,,,2920,,,,,3010,,,,,3200,,,,,3670
Taiwan,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Tanzania,203k,,,,,229k,,,,,215k,,,,,235k,,,,,262k,,,,,294k,,,,,328k
Uganda,312k,,,,,362k,,,,,518k,,,,,587k,,,,,732k,,,,,786k,,,,,781k
Ukraine,5.55M,,,,,5.61M,,,,,5.6M,,,,,5.57M,,,,,5.43M,,,,,5.8M,,,,,6.14M
Uruguay,237k,,,,,234k,,,,,236k,,,,,299k,,,,,338k,,,,,353k,,,,,367k
USA,1.73M,,,,,1.83M,,,,,1.98M,,,,,2.3M,,,,,2.67M,,,,,2.72M,,,,,3M
Uzbekistan,1.43M,,,,,1.52M,,,,,1.58M,,,,,1.73M,,,,,1.89M,,,,,1.98M,,,,,2.03M
St. Vincent and the Grenadines,37k,,,,,45.7k,,,,,53.5k,,,,,55.6k,,,,,55.4k,,,,,62.3k,,,,,55.5k
Venezuela,185k,,,,,242k,,,,,318k,,,,,437k,,,,,561k,,,,,709k,,,,,5.42M
Vietnam,1.51M,,,,,1.84M,,,,,2.16M,,,,,2.38M,,,,,2.63M,,,,,2.91M,,,,,3.39M
Vanuatu,4870,,,,,5610,,,,,6240,,,,,7260,,,,,7690,,,,,6750,,,,,7250
Samoa,74.9k,,,,,82k,,,,,94.5k,,,,,99.2k,,,,,105k,,,,,117k,,,,,136k
Yemen,455k,,,,,486k,,,,,529k,,,,,629k,,,,,876k,,,,,1.1M,,,,,1.3M
South Africa,308k,,,,,386k,,,,,502k,,,,,602k,,,,,744k,,,,,787k,,,,,915k
Zambia,85.2k,,,,,141k,,,,,160k,,,,,181k,,,,,183k,,,,,184k,,,,,201k
Zimbabwe,204k,,,,,288k,,,,,352k,,,,,501k,,,,,755k,,,,,1.17M,,,,,1.24M
